"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.266170732E0,8.177717775E-2,5.115845799E-2,1.305686031E-2
2.284979378E0,5.764871091E-2,2.947338112E-2,6.948387716E-3
2.303788024E0,3.443651274E-2,2.428117767E-2,3.894151188E-3
2.322596722E0,3.626905754E-2,2.275406010E-2,2.977880416E-3
2.341405368E0,4.543176666E-2,-6.566607859E-3,-4.657710437E-3
2.360214014E0,3.901786730E-2,-5.115845799E-2,-1.656923257E-2
2.379022660E0,2.802261710E-2,-8.261708915E-2,-1.870719716E-2
2.397831305E0,2.221956849E-2,-8.231166750E-2,-2.970244735E-2
2.416639951E0,3.199312463E-2,-6.612421572E-2,-4.436278343E-2
2.435448649E0,4.695888236E-2,-5.390727147E-2,-5.169294775E-2
2.454257295E0,5.306735635E-2,-5.909947306E-2,-4.466820508E-2
2.473065941E0,5.245650932E-2,-8.536590636E-2,-3.581092134E-2
2.491874587E0,4.543176666E-2,-1.018587798E-1,-3.397838026E-2
2.510683232E0,3.229855001E-2,-9.727742523E-2,-1.565296017E-2
2.529491878E0,-1.412584260E-2,-5.726693198E-2,-9.544488043E-3
2.548300576E0,-5.169294775E-2,-8.093725890E-3,-1.534753758E-2
2.567109222E0,-6.238277629E-2,3.802524135E-2,-2.603736520E-2
2.585917868E0,-4.588989913E-2,6.368082762E-2,-3.153498843E-2
2.604726514E0,-1.412584260E-2,5.115845799E-2,-3.917058185E-2
2.623535160E0,2.985516004E-2,2.733541466E-2,-3.336753324E-2
2.642343805E0,7.475243509E-2,-1.175880991E-2,-4.046862945E-3
2.661152451E0,4.879142344E-2,-1.603474095E-2,1.244601328E-2
2.679961149E0,-5.573981442E-3,-1.068982761E-3,1.763821393E-2
2.698769795E0,-4.619532451E-2,1.969982497E-2,3.565821052E-2
2.717578441E0,-9.139802307E-2,5.543438718E-2,4.940227047E-2
2.736387087E0,-8.467870206E-2,8.506047726E-2,3.504735976E-2
2.755195732E0,2.649549954E-2,6.032116711E-2,3.901786730E-2
2.774004378E0,1.727934182E-1,-1.145338640E-2,6.314633787E-2
2.792813024E0,2.347944081E-1,-4.535540938E-2,6.070294604E-2
2.811621670E0,1.990598440E-1,-1.985253533E-3,-5.573981442E-3
2.830430368E0,1.330883503E-1,1.088835225E-1,-8.864920586E-2
2.849239014E0,1.043785289E-1,1.849340051E-1,-1.482068151E-1
2.868047660E0,6.558972597E-2,1.754658818E-1,-1.680593491E-1
2.886856305E0,2.977880416E-3,3.374931216E-2,-1.198024154E-1
2.905664951E0,-4.161396995E-2,-2.252499312E-1,-3.184041381E-2
2.924473597E0,7.864658721E-3,-4.326325655E-1,9.888090193E-2
2.943282243E0,9.888090193E-2,-3.013004065E-1,1.651578248E-1
2.962090889E0,1.391968131E-1,1.293469071E-1,1.144575030E-1
2.980899535E0,1.492757946E-1,5.700731874E-1,3.657447919E-2
2.999708232E0,1.492757946E-1,7.392778993E-1,-3.130592173E-3
3.018516878E0,1.141520813E-1,5.236487985E-1,-2.909160033E-2
3.037325524E0,5.856497958E-2,9.452861547E-2,-6.452073902E-2
3.056134170E0,2.191414498E-2,-2.423536479E-1,-5.657972768E-2
3.074942816E0,-2.825168660E-3,-2.945810854E-1,-8.628217503E-3
3.093751462E0,8.780929260E-3,-1.217113137E-1,3.077143058E-2
3.112560107E0,5.551074445E-2,1.131594554E-1,5.520532280E-2
3.131368753E0,8.391514421E-2,2.854183912E-1,5.520532280E-2
3.150177399E0,8.147175610E-2,3.318427801E-1,3.749075159E-2
3.168986045E0,7.505785674E-2,2.478512824E-1,1.152974181E-2
3.187794691E0,6.589514762E-2,1.079672500E-1,-1.809635013E-2
3.206603337E0,3.382566571E-2,-1.603474095E-2,-2.298312820E-2
3.225412035E0,-2.084516361E-2,-8.475505561E-2,-2.206685767E-2
3.244220680E0,-6.665870547E-2,-7.559234649E-2,-1.718007959E-2
3.263029326E0,-6.055023521E-2,-1.206423342E-2,2.672456671E-3
3.281837972E0,-1.870719716E-2,6.276455522E-2,2.221956849E-2
3.300646618E0,3.046600707E-2,1.027750522E-1,3.443651274E-2
3.319455264E0,8.025006205E-2,9.972081333E-2,4.329380020E-2
3.338263910E0,1.025459841E-1,9.147437662E-2,3.352024406E-2
3.357072555E0,8.483141661E-2,9.666658193E-2,4.810422193E-3
3.375881201E0,4.359922186E-2,8.047912270E-2,-9.544488043E-3
3.394689847E0,4.810422193E-3,2.122694254E-2,-1.137703005E-2
3.413498493E0,-6.490251981E-3,-3.894151375E-2,-8.933641016E-3
3.432307139E0,1.183516532E-2,-5.971032009E-2,4.504998680E-3
3.451115785E0,3.901786730E-2,-3.497100621E-2,1.488940232E-2
3.469924430E0,6.253548712E-2,2.275406010E-2,1.947075687E-2
3.488733076E0,7.230904698E-2,8.047912270E-2,1.824906096E-2
3.507541774E0,5.367820337E-2,1.021642014E-1,1.397313084E-2
3.526350420E0,2.252499200E-2,6.490252167E-2,-9.926267667E-4
3.545159014E0,6.337540224E-3,-9.009997360E-3,-8.933641016E-3
3.563967712E0,1.756185899E-3,-5.573981255E-2,-9.544488043E-3
3.582776357E0,-2.825168660E-3,-4.779879749E-2,-1.259872504E-2
3.601585003E0,2.290677221E-4,-1.145338640E-2,-8.933641016E-3
3.620393649E0,-2.825168660E-3,2.611372061E-2,-7.406522986E-3
3.639202295E0,-7.711946499E-3,4.107947648E-2,-8.628217503E-3
3.658010941E0,3.588727675E-3,1.664558798E-2,-9.239064530E-3
3.676819587E0,1.152974181E-2,-2.825168520E-2,-2.214321401E-3
3.695628232E0,3.588727675E-3,-5.176930502E-2,3.283303929E-3
3.714436878E0,-3.436015919E-3,-3.802524135E-2,-5.268557463E-3
3.733245524E0,5.726693198E-3,-6.261184346E-3,8.399150101E-4
3.752054170E0,1.030804776E-2,2.214321308E-2,1.427855436E-2
3.770862816E0,6.337540224E-3,3.802524135E-2,1.305686031E-2
3.789671462E0,1.702736691E-2,4.169032723E-2,1.152974181E-2
3.808480107E0,3.504735976E-2,3.222219273E-2,4.810422193E-3
3.827288753E0,4.146125913E-2,2.122694254E-2,1.000262424E-2
3.846097399E0,3.382566571E-2,1.908897609E-2,1.885990985E-2
3.864906045E0,1.244601328E-2,2.122694254E-2,1.091889478E-2
3.883714691E0,-1.137703005E-2,3.206948051E-3,-5.573981442E-3
3.902523337E0,-2.389939874E-2,-4.046862945E-2,-5.573981442E-3
3.921331982E0,-2.725905925E-2,-7.253811508E-2,-9.544488043E-3
3.940140628E0,-3.184041381E-2,-6.978929788E-2,-1.290414855E-2
3.958949274E0,-3.275668249E-2,-5.054761097E-2,-8.017370477E-3
3.977757920E0,-2.573194169E-2,-3.558185324E-2,-4.046862945E-3
3.996566566E0,-1.656923257E-2,-3.069507517E-2,4.199574701E-3
4.015375212E0,-1.412584260E-2,-2.977880463E-2,9.391776286E-3
4.034183857E0,-1.565296017E-2,-2.580829710E-2,1.244601328E-2
4.052992503E0,-1.443126611E-2,-2.153236605E-2,1.244601328E-2
4.071801149E0,-9.849912487E-3,-1.420219894E-2,8.170082234E-3
4.090609795E0,-3.130592173E-3,-4.428642802E-3,1.427855436E-2
4.109418441E0,-4.352286924E-3,7.177455351E-3,1.702736691E-2
4.128227087E0,-1.015533600E-2,1.298050396E-2,1.763821393E-2
4.147035732E0,-8.933641016E-3,2.000524849E-2,1.733279042E-2
4.165844378E0,-6.184828468E-3,4.321744293E-2,1.702736691E-2
4.184653024E0,-1.603474026E-3,7.864658535E-2,2.863346599E-2
4.203461670E0,-3.741439432E-3,9.391776472E-2,3.565821052E-2
4.222270316E0,-1.656923257E-2,7.375980914E-2,3.779617324E-2
4.241078962E0,-3.061871976E-2,3.344388679E-2,3.382566571E-2
4.259887607E0,-4.527905211E-2,1.679830020E-3,1.672194339E-2
4.278696253E0,-6.024480984E-2,-1.985253533E-3,-2.214321401E-3
4.297504899E0,-5.932854116E-2,-1.374406274E-3,-1.382041909E-2
