"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.042966878E0,-7.513462901E-1,-9.589237213E0,-9.810572863E-1
2.061775524E0,-7.800601721E-1,-9.577272415E0,-7.932206988E-1
2.080584170E0,-7.250252366E-1,-9.598808289E0,-7.932206988E-1
2.099392816E0,-6.556333899E-1,-9.611968994E0,-8.745766878E-1
2.118201514E0,-5.994020700E-1,-9.605986595E0,-9.308080077E-1
2.137010160E0,-5.491527915E-1,-9.605986595E0,-9.882357717E-1
2.155818805E0,-5.647061467E-1,-9.634700775E0,-1.115055323E0
2.174627451E0,-5.838487148E-1,-9.653842926E0,-1.200000525E0
2.193436097E0,-5.419743061E-1,-9.656235695E0,-1.184447169E0
2.212244743E0,-5.491527915E-1,-9.674181938E0,-1.045663476E0
2.231053441E0,-5.730810165E-1,-9.702896118E0,-8.650053740E-1
2.249862087E0,-5.539384484E-1,-9.710074425E0,-8.949156404E-1
2.268670732E0,-5.575276613E-1,-9.729216576E0,-1.088734269E0
2.287479378E0,-5.216353536E-1,-9.659825325E0,-1.134197950E0
2.306288024E0,-5.024927258E-1,-9.656235695E0,-1.061216831E0
2.325096722E0,-4.857429862E-1,-9.656235695E0,-9.870393276E-1
2.343905368E0,-5.120640397E-1,-9.680164337E0,-9.846464992E-1
2.362714014E0,-5.898307562E-1,-9.674181938E0,-9.750752449E-1
2.381522660E0,-6.101697683E-1,-9.705288887E0,-9.427721500E-1
2.400331305E0,-6.364908218E-1,-9.707681656E0,-8.961120844E-1
2.419139951E0,-7.405785918E-1,-9.701699257E0,-8.291130662E-1
2.437948649E0,-8.769695163E-1,-9.684949875E0,-8.207381964E-1
2.456757295E0,-9.511470199E-1,-9.638289452E0,-8.315058947E-1
2.475565941E0,-1.000199914E0,-9.633503914E0,-9.008977413E-1
2.494374587E0,-1.062413216E0,-9.651450157E0,-9.571290612E-1
2.513183232E0,-9.619147182E-1,-9.615557671E0,-1.092323542E0
2.531991878E0,-8.434699774E-1,-9.625128746E0,-1.050449133E0
2.550800576E0,-8.099704385E-1,-9.781859398E0,-9.152546525E-1
2.569609222E0,-8.470591903E-1,-9.833304405E0,-7.776673436E-1
2.588417868E0,-9.308080077E-1,-9.891928673E0,-6.867401004E-1
2.607226514E0,-1.015753269E0,-9.838089943E0,-7.872386575E-1
2.626035160E0,-1.021735311E0,-9.544969559E0,-1.010967612E0
2.644843805E0,-8.422735929E-1,-9.186046600E0,-1.454836130E0
2.663652451E0,-7.704889178E-1,-9.364311218E0,-1.612762451E0
2.682461149E0,-7.621139884E-1,-9.856036186E0,-1.345962763E0
2.701269795E0,-6.245267391E-1,-9.921838760E0,-1.007378340E0
2.720078441E0,-5.491527915E-1,-9.628718376E0,-4.857429862E-1
2.738887087E0,-6.592226624E-1,-9.559326172E0,5.024927482E-2
2.757695732E0,-6.915257573E-1,-9.719645500E0,2.153540403E-1
2.776504378E0,-5.431707501E-1,-9.747162819E0,-1.986042857E-1
2.795313024E0,-2.297109663E-1,-9.416953087E0,-7.740781307E-1
2.814121670E0,-1.758724600E-1,-9.272188187E0,-1.070788145E0
2.832930368E0,-4.677968323E-1,-9.287740707E0,-8.362914920E-1
2.851739014E0,-8.291130662E-1,-9.494720459E0,-5.467599630E-1
2.870547660E0,-1.301695466E0,-1.000199890E1,-4.223332107E-1
2.889356305E0,-1.514656782E0,-1.055115128E1,-2.333002090E-1
2.908164951E0,-1.552941918E0,-1.041954613E1,4.426721856E-2
