"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.493785522E0,-1.091127157E0,-5.661418438E0,8.761320114E0
2.512595001E0,-2.133201361E0,-5.955735683E0,8.699107170E0
2.531404428E0,-2.928814888E0,-4.941178799E0,9.232706070E0
2.550213855E0,-2.980260611E0,-3.877569199E0,1.004028416E1
2.569023334E0,-2.742174864E0,-3.468396425E0,9.973284721E0
2.587832761E0,-1.074377418E0,-3.460021496E0,9.586843491E0
2.606642188E0,2.057827413E-1,-3.466003656E0,9.221938133E0
2.625451667E0,8.614161611E-1,-3.152543783E0,8.787641525E0
2.644261094E0,1.099501967E0,-2.650051117E0,8.688339233E0
2.663070522E0,-1.040877849E-1,-2.679961443E0,9.525827408E0
2.681880001E0,-1.213161111E0,-3.077169895E0,9.810572624E0
2.700689428E0,-1.561316729E0,-3.522234917E0,9.462417603E0
2.719498855E0,-1.387837172E0,-3.748356581E0,9.309276581E0
2.738308334E0,-9.427721500E-1,-3.718446493E0,9.263813019E0
2.757117761E0,-7.465606928E-1,-3.518645763E0,9.152546883E0
2.775927188E0,-1.032503009E0,-3.314059258E0,9.334401131E0
2.794736615E0,-1.214357495E0,-3.220739365E0,9.741181374E0
2.813546094E0,-1.226321578E0,-3.327219963E0,9.466006279E0
2.832355522E0,-1.143769264E0,-3.442075491E0,9.092725754E0
2.851164949E0,-9.535398483E-1,-3.418147087E0,9.138189316E0
2.869974428E0,-8.147560954E-1,-3.278167009E0,9.224330902E0
2.888783855E0,-7.549355626E-1,-3.093919754E0,9.305686951E0
2.907593282E0,-7.836494446E-1,-2.965903759E0,9.353543282E0
2.926402709E0,-7.549355626E-1,-2.985046148E0,9.330811501E0
2.945212188E0,-8.494520187E-1,-2.976671457E0,9.363115311E0
2.964021615E0,-9.080761671E-1,-2.931207657E0,9.357132912E0
2.982831042E0,-9.260223508E-1,-2.964707375E0,9.399007797E0
3.001640522E0,-8.446664214E-1,-3.041277647E0,9.367900848E0
3.020449949E0,-8.721838593E-1,-3.144168854E0,9.579665184E0
3.039259376E0,-9.367900491E-1,-3.217149973E0,9.774680138E0
3.058068803E0,-8.183453679E-1,-3.333201885E0,9.750752449E0
3.076878282E0,-6.221339107E-1,-3.406183004E0,9.534201622E0
3.095687709E0,-6.065805554E-1,-3.513859987E0,9.743574142E0
3.114497136E0,-7.393822074E-1,-3.474378586E0,1.010249710E1
3.133306563E0,-9.990034699E-1,-3.381058455E0,1.002712345E1
3.152116042E0,-1.118644595E0,-3.214757204E0,1.000798035E1
3.170925469E0,-1.529013634E0,-2.895315409E0,1.084068298E1
3.189734897E0,-8.937192559E-1,-3.231507063E0,1.050449181E1
3.208544324E0,-9.068797827E-1,-3.414557934E0,1.056550884E1
3.227353803E0,-2.536391914E-1,-3.297309637E0,1.047697353E1
3.246163230E0,-7.142575383E-1,-2.801995277E0,1.036570740E1
3.264972657E0,-4.163511395E-1,-2.359323025E0,9.897911072E0
3.283782084E0,-4.007977843E-1,-1.887937069E0,9.226723671E0
3.302591563E0,-6.640082598E-1,-1.524227977E0,9.000602722E0
3.321400990E0,-8.817551732E-1,-1.575673699E0,8.902496338E0
3.340210417E0,-7.405785918E-1,-1.416550994E0,8.066205025E0
3.359019844E0,-8.925228715E-1,-1.438086390E0,8.409575462E0
3.377829324E0,-7.621139884E-1,-1.275374413E0,8.928817749E0
3.396638751E0,-1.081555843E0,-1.056431174E0,9.385847092E0
3.415448178E0,-1.618744493E0,-8.243274093E-1,9.135796547E0
3.434257605E0,-2.120040894E0,-8.159525394E-1,8.042277336E0
3.453067032E0,-1.936989903E0,-7.345965505E-1,7.092326164E0
3.471876511E0,-1.544566989E0,-2.991028428E-1,6.867401123E0
3.490685938E0,-8.482556343E-1,1.674975902E-1,6.726224422E0
3.509495365E0,-6.305087805E-1,4.474578202E-1,7.091129780E0
3.528304792E0,-5.168496966E-1,2.871387303E-1,8.690732002E0
3.547114219E0,-1.044467092E0,-1.310070395E0,1.188275719E1
3.565923699E0,-2.258824587E0,-3.242274761E0,1.422891998E1
3.584733126E0,-3.101098061E0,-4.509274483E0,1.342971706E1
3.603542553E0,-2.760120869E0,-4.529613495E0,1.169731331E1
3.622351980E0,-2.549552441E0,-2.913261652E0,9.930213928E0
3.641161407E0,-2.292324066E0,-1.170090318E0,8.769695282E0
3.659970886E0,-1.313659668E0,-7.704889178E-1,8.501698494E0
3.678780313E0,-2.189432681E-1,-9.894321561E-1,8.821140289E0
3.697589740E0,-1.794617027E-1,-1.130608678E0,8.913264275E0
3.716399167E0,-5.347958803E-1,-1.099501967E0,8.565108299E0
3.735208594E0,-1.070788145E0,-1.161715388E0,8.301898003E0
3.754018074E0,-1.397408366E0,-1.433300734E0,8.779266357E0
3.772827501E0,-1.823330879E0,-1.713261008E0,9.650253296E0
3.791636928E0,-2.214557409E0,-1.891526341E0,1.050568771E1
3.810446355E0,-2.323430777E0,-2.037488461E0,1.107159042E1
3.829255782E0,-2.478964329E0,-1.987239242E0,1.151904774E1
3.848065209E0,-2.561516523E0,-1.791027784E0,1.095912743E1
3.866874688E0,-2.233700037E0,-1.722832322E0,1.005823040E1
3.885684115E0,-1.781456470E0,-1.785045743E0,9.431310654E0
3.904493542E0,-1.512263894E0,-1.811366796E0,8.997013092E0
3.923302969E0,-1.976471543E0,-1.813759565E0,9.805787086E0
3.942112397E0,-3.328416348E0,-1.759921074E0,9.650253296E0
3.960921876E0,-4.378865242E0,-1.767099500E0,1.047218800E1
3.979731303E0,-4.991427898E0,-2.201396942E0,1.129292679E1
3.998540730E0,-4.472185612E0,-2.721835852E0,1.002712345E1
4.017350157E0,-3.178864956E0,-2.985046148E0,9.940981865E0
4.036159584E0,-2.770888567E0,-2.317448616E0,8.652446747E0
4.054969011E0,-2.894119024E0,-1.661815286E0,8.779266357E0
4.073778438E0,-3.310470104E0,-1.497906923E0,9.475577354E0
4.092587917E0,-3.250649452E0,-1.867598057E0,9.817750931E0
4.111397344E0,-2.953939438E0,-2.718246460E0,1.017667484E1
4.130206772E0,-2.374876499E0,-3.623929977E0,9.662218094E0
4.149016199E0,-1.624726534E0,-4.231706619E0,8.932407379E0
4.167825626E0,-1.598405480E0,-4.478167534E0,9.615557671E0
4.186635053E0,-1.811366796E0,-4.237689018E0,9.820143700E0
4.205444532E0,-1.981257200E0,-4.021138668E0,9.324830055E0
4.224253959E0,-1.819741607E0,-4.084548473E0,8.534002304E0
4.243063386E0,-1.891526341E0,-4.336990833E0,8.232506752E0
4.261872813E0,-2.202593327E0,-4.646861553E0,8.551948547E0
4.280682240E0,-2.532802820E0,-4.869394302E0,8.700303078E0
4.299491667E0,-2.453839540E0,-5.030909538E0,8.513663292E0
4.318301094E0,-2.218146563E0,-4.789234638E0,7.843672752E0
4.337110522E0,-2.679961443E0,-4.412364960E0,8.249256134E0
4.355920001E0,-2.456232548E0,-4.258028030E0,8.355736732E0
4.374729428E0,-2.298306227E0,-4.085744858E0,8.128418922E0
4.393538855E0,-2.370090723E0,-3.923032761E0,7.984848976E0
4.412348282E0,-2.439482689E0,-3.834498405E0,7.994420528E0
4.431157709E0,-2.638087034E0,-3.785445452E0,8.154739380E0
4.449967136E0,-2.452643156E0,-4.028316975E0,7.563712597E0
4.468776563E0,-1.944168448E0,-4.019941807E0,8.846264839E0
4.487585990E0,-1.817348838E0,-3.873979807E0,9.555737495E0
4.506395417E0,-1.757528186E0,-4.407579422E0,7.594819069E0
4.525204897E0,-1.171286702E0,-4.579862595E0,6.267998695E0
4.544014324E0,-2.321037948E-1,-4.187439442E0,5.956932068E0
4.562823751E0,6.819544435E-1,-3.340380430E0,6.535995007E0
4.581633178E0,1.032503009E0,-2.452643156E0,6.778866768E0
4.600442605E0,6.568298340E-1,-2.377269268E0,6.297909260E0
