"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.381634115E0,-5.706077218E-1,-2.095969617E-1,7.941014133E-3
4.400443542E0,-5.733565092E-1,-2.105132341E-1,1.893626526E-2
4.419252969E0,-5.504497290E-1,-2.719033957E-1,2.596100792E-2
4.438062449E0,-4.566846788E-1,-5.144097209E-1,6.963659078E-2
4.456871876E0,-3.485647142E-1,-7.211815715E-1,1.294996142E-1
4.475681303E0,-1.356844455E-1,-1.656465054E0,2.217375487E-1
4.494490730E0,2.889307439E-1,-2.404752970E0,2.919849753E-1
4.513300157E0,2.977880239E-1,-2.397422791E0,2.706053257E-1
4.532109584E0,2.382304370E-1,-1.908439517E0,2.241809368E-1
4.550919011E0,2.192941606E-1,-9.612445235E-1,1.643179059E-1
4.569728438E0,1.826433241E-1,-8.681666851E-2,9.009996802E-2
4.588537865E0,1.532463133E-1,5.151733160E-1,-2.748812735E-2
4.607347344E0,1.580567285E-2,1.114719868E0,-1.496575773E-1
4.626156772E0,-1.445417255E-1,1.751604557E0,-2.638860047E-1
4.644966199E0,-1.640888453E-1,1.997165084E0,-3.106158376E-1
4.663775626E0,1.427855436E-2,1.659366608E0,-1.649287641E-1
4.682585053E0,2.079934925E-1,1.086010098E0,1.401894391E-1
4.701394480E0,3.350497186E-1,7.705074549E-1,4.883723855E-1
4.720203907E0,4.428642690E-1,9.519290924E-1,7.073611021E-1
4.739013334E0,5.302154422E-1,1.209477544E0,7.641699314E-1
4.757822761E0,5.949652195E-1,1.174964666E0,6.820109487E-1
4.776632188E0,7.485933304E-1,9.479585886E-1,5.540384650E-1
4.795441615E0,9.141329527E-1,7.903599739E-1,4.770717025E-1
4.814251042E0,8.961129189E-1,6.926244497E-1,3.652866483E-1
4.833060522E0,7.317950130E-1,3.383330107E-1,2.712161839E-1
4.851869949E0,7.226322889E-1,-2.664821222E-2,2.736595869E-1
4.870679376E0,7.660024762E-1,-3.137464225E-1,3.753656447E-1
4.889488803E0,7.635591030E-1,-3.852155507E-1,4.104893506E-1
4.908298230E0,7.669187188E-1,-2.960318625E-1,3.387148082E-1
4.927107657E0,8.078454733E-1,-1.130831018E-1,2.968717813E-1
4.945917084E0,7.980719209E-1,1.596602052E-1,2.669402659E-1
4.964726511E0,7.547017932E-1,3.273377717E-1,2.000524700E-1
4.983535938E0,7.308787704E-1,1.987544298E-1,1.252236813E-1
5.002345365E0,6.746807694E-1,-1.078908965E-1,6.139015034E-2
5.021154792E0,6.817055345E-1,-2.071535736E-1,1.068982668E-2
5.039964219E0,7.259919643E-1,-1.085017473E-1,-3.573456407E-2
5.058773647E0,7.620319724E-1,-4.772244394E-2,-8.735115826E-2
5.077583074E0,8.005153537E-1,-7.124006003E-2,-1.279724985E-1
5.096392501E0,7.440119386E-1,-6.635328382E-2,-8.032641560E-2
5.115201928E0,7.009472251E-1,1.397313084E-2,-3.970507067E-3
5.134011407E0,6.691831946E-1,2.213557810E-1,3.665083554E-3
5.152820834E0,6.697940230E-1,4.039991200E-1,1.466033421E-2
5.171630261E0,6.004628539E-1,4.855472147E-1,7.146912813E-2
5.190439688E0,4.746283293E-1,3.539096415E-1,1.548497826E-1
5.209249115E0,3.610107303E-1,1.758476496E-1,2.141019702E-1
5.228058542E0,2.638860047E-1,1.642415524E-1,2.183778882E-1
