"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.020005000E0,-3.034383655E-1,-7.912762761E-1,-2.606790662E-1
3.038814011E0,-4.891359508E-1,-9.293277264E-1,-4.714213610E-1
3.057623073E0,-7.252284288E-1,-9.424609542E-1,-6.714738607E-1
3.076432084E0,-9.646805525E-1,-9.360470772E-1,-8.116632700E-1
3.095241094E0,-1.124417067E0,-1.036226034E0,-8.977927566E-1
3.114050104E0,-1.139077425E0,-1.252465963E0,-9.628480077E-1
3.132859167E0,-1.048672080E0,-1.442439437E0,-1.016907930E0
3.151668177E0,-9.142856598E-1,-1.600038052E0,-9.509364963E-1
3.170477188E0,-7.759287357E-1,-1.670285463E0,-7.863131166E-1
3.189286250E0,-6.690304875E-1,-1.647378683E0,-5.315898061E-1
3.208095261E0,-6.064186096E-1,-1.334624887E0,-2.762556672E-1
3.226904271E0,-5.184566379E-1,-8.673267365E-1,-1.363716573E-1
3.245713334E0,-3.846810758E-1,-3.935383558E-1,-1.244601309E-1
3.264522344E0,-2.719797492E-1,-4.199574888E-2,-1.904316396E-1
3.283331354E0,-2.099787444E-1,1.470614821E-1,-2.899997234E-1
3.302140365E0,-1.437018216E-1,6.765133142E-2,-3.581092060E-1
3.320949427E0,-3.588727489E-2,-2.628170252E-1,-4.109475017E-1
3.339758438E0,6.306997687E-2,-6.168794036E-1,-4.231644273E-1
3.358567448E0,8.719844371E-2,-8.425874114E-1,-3.987305462E-1
3.377376459E0,5.879404768E-2,-9.427663684E-1,-3.416163325E-1
3.396185521E0,-1.817270555E-2,-9.122240543E-1,-2.438807636E-1
3.414994531E0,-1.122431830E-1,-7.091172934E-1,-1.458397806E-1
3.433803542E0,-1.626380831E-1,-3.605526090E-1,-6.429167092E-2
3.452612604E0,-1.818797737E-1,4.352286831E-2,-2.428117767E-2
3.471421615E0,-1.772984117E-1,3.461976945E-1,-2.336490713E-2
3.490230625E0,-1.287360638E-1,4.311054647E-1,-3.008422814E-2
3.509039636E0,-9.055810422E-2,4.063661397E-1,-1.114796288E-2
3.527848698E0,-6.795676053E-2,3.110739589E-1,-5.344913341E-3
3.546657709E0,-6.276455522E-2,1.272089481E-1,-6.872031838E-3
3.565466719E0,-2.580829710E-2,-4.413371533E-2,-3.008422814E-2
3.584275729E0,5.085303262E-2,-1.272089481E-1,-6.520794332E-2
3.603084792E0,1.180462316E-1,-1.412584335E-1,-1.238492802E-1
3.621893802E0,1.504211426E-1,-1.241547018E-1,-1.944021434E-1
3.640702813E0,1.385096163E-1,-6.673506647E-2,-2.643441558E-1
3.659511823E0,1.821851879E-1,-8.399149403E-3,-2.936648130E-1
3.678320886E0,2.985515893E-1,6.856760383E-2,-2.808370292E-1
3.697129896E0,4.063661397E-1,2.179197669E-1,-2.719797492E-1
3.715938906E0,4.427115619E-1,3.672719002E-1,-2.637332976E-1
3.734747917E0,4.106420577E-1,5.175403357E-1,-2.451024652E-1
3.753556979E0,3.871244490E-1,6.836907864E-1,-2.634278834E-1
3.772365990E0,3.917058110E-1,8.449544907E-1,-3.287885487E-1
3.791175000E0,4.598152637E-1,9.775083065E-1,-4.023956358E-1
3.809984011E0,5.932853818E-1,1.062110662E0,-4.448495209E-1
3.828793021E0,7.136223316E-1,1.153432369E0,-4.246915579E-1
3.847602084E0,7.172874212E-1,1.246281147E0,-3.648285270E-1
3.866411094E0,5.581616759E-1,1.308282137E0,-3.064926267E-1
3.885220104E0,1.968455315E-1,1.190388560E0,-2.695363462E-1
3.904029115E0,-2.942756712E-1,8.415948153E-1,-2.750339806E-1
3.922838125E0,-4.815003574E-1,8.186880350E-1,-3.223746419E-1
3.941647188E0,-4.524851143E-1,1.637528777E0,-4.735593498E-1
3.960456198E0,-6.015318632E-1,2.873960018E0,-7.035433054E-1
3.979265209E0,-8.086090684E-1,3.490915775E0,-7.802046537E-1
3.998074219E0,-9.313893318E-1,2.914886713E0,-3.507790267E-1
4.016883281E0,-1.087460876E0,1.173590302E0,3.847574294E-1
4.035692292E0,-4.903576374E-1,3.092414141E-1,7.417976260E-1
4.054501302E0,3.724641204E-1,7.014053464E-1,6.376481652E-1
4.073310313E0,1.058216572E0,1.117086887E0,3.291703165E-1
4.092119323E0,1.563998103E0,1.038898468E0,1.843995154E-1
4.110928334E0,1.903323650E0,6.873558760E-1,4.174377322E-1
4.129737396E0,1.937836528E0,2.753393948E-1,6.348993778E-1
4.148546406E0,9.558232427E-1,-1.763821393E-1,4.052208066E-1
4.167355417E0,7.579087615E-1,1.284306347E-1,-1.488940120E-1
4.186164427E0,1.061270714E0,6.449019909E-1,-4.592044353E-1
