"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.323449427E0,-9.176474810E-1,-8.800801277E0,-1.992024899E0
3.342258438E0,-1.201196909E0,-8.742177963E0,-2.342573404E0
3.361067448E0,-1.450050473E0,-8.746963501E0,-2.711068153E0
3.379876459E0,-1.710868239E0,-8.745766640E0,-3.178864956E0
3.398685521E0,-1.887937069E0,-8.817551613E0,-3.521038532E0
3.417494531E0,-1.933400750E0,-8.776873589E0,-3.419343472E0
3.436303542E0,-1.776670814E0,-8.603393555E0,-3.320041418E0
3.455112604E0,-1.670190215E0,-8.561519623E0,-3.255435228E0
3.473921615E0,-1.507478237E0,-8.470592499E0,-3.080759048E0
3.492730625E0,-1.395015597E0,-8.409575462E0,-3.080759048E0
3.511539636E0,-1.255035520E0,-8.410771370E0,-2.916850805E0
3.530348698E0,-9.774680734E-1,-8.441878319E0,-3.055634499E0
3.549157709E0,-5.563312769E-1,-8.390432358E0,-3.493520975E0
3.567966719E0,-2.500499785E-1,-8.193024635E0,-3.652643681E0
3.586775729E0,-4.785645381E-2,-8.193024635E0,-4.088137627E0
3.605584792E0,-3.278166950E-1,-8.362915039E0,-4.264009953E0
3.624393802E0,-9.308080077E-1,-8.409575462E0,-3.821337700E0
3.643202813E0,-1.475175142E0,-8.173882484E0,-3.444468260E0
3.662011823E0,-1.637887120E0,-7.788637638E0,-3.418147087E0
3.680820886E0,-1.445264935E0,-7.617550850E0,-3.406183004E0
3.699629896E0,-1.355534077E0,-7.816154957E0,-3.574877024E0
3.718438906E0,-1.409372568E0,-8.163114548E0,-4.080958843E0
3.737247917E0,-1.174875975E0,-8.338987350E0,-4.112065792E0
3.756056979E0,-1.055234790E0,-8.438288689E0,-3.743571043E0
3.774865990E0,-1.131805062E0,-8.475378036E0,-3.421736479E0
3.793675000E0,-1.165304661E0,-8.280363083E0,-3.443271875E0
3.812484011E0,-1.252642632E0,-7.987242222E0,-3.714857101E0
3.831293021E0,-1.404586911E0,-7.872386456E0,-3.999603033E0
3.850102084E0,-1.732403636E0,-8.539983749E0,-4.106083870E0
3.868911094E0,-2.255235434E0,-1.023769188E1,-4.231706619E0
3.887720104E0,-2.147558212E0,-1.177508068E1,-4.869394302E0
3.906529115E0,-4.642075896E-1,-1.196052361E1,-3.949353695E0
3.925338125E0,1.385444283E0,-1.169133186E1,-2.723032236E0
3.944147188E0,2.118844509E0,-1.187677479E1,-1.417747378E0
3.962956198E0,1.505085468E0,-1.196052361E1,-4.522434771E-1
3.981765209E0,1.094716311E0,-1.207298660E1,-9.332008660E-2
4.000574219E0,7.417750359E-1,-1.093759251E1,-1.934597135E0
4.019383281E0,2.283949137E0,-9.099904060E0,4.749752879E-1
4.038192292E0,3.981656790E0,-9.091529846E0,2.188236237E0
4.057001302E0,4.448257446E0,-1.019462109E1,2.849851847E0
4.075810313E0,4.371686935E0,-1.098185921E1,3.029313564E0
4.094619323E0,3.492324591E0,-1.196052361E1,2.561516523E0
4.113428334E0,3.162115097E0,-1.234816170E1,1.142572761E0
4.132237396E0,3.475574970E0,-1.123190975E1,-6.595815659E0
4.151046406E0,3.451646566E0,-1.003908730E1,-5.213960648E0
4.169855417E0,2.097309113E0,-9.393025398E0,-1.009771109E0
4.188664427E0,1.064806104E0,-8.799605370E0,-3.230310604E-2
4.207473438E0,9.750752449E-1,-8.149953842E0,3.457628787E-1
4.226282500E0,2.047059774E0,-7.596015453E0,1.806581169E-1
4.245091511E0,4.086941242E0,-7.317251682E0,-2.751746178E-1
4.263900521E0,2.636890650E0,-7.591229916E0,-2.517249346E0
4.282709531E0,1.972882271E0,-8.677571297E0,-2.752942562E0
4.301518542E0,7.022934556E-1,-9.536594391E0,-2.090130568E0
4.320327552E0,2.967100143E-1,-9.716055870E0,-1.137787223E0
4.339136615E0,7.860422134E-1,-9.626325607E0,-6.484549642E-1
4.357945625E0,1.396211982E0,-9.711270332E0,-9.738788009E-1
4.376754636E0,2.306680918E0,-1.008814049E1,-1.569691658E0
4.395563646E0,2.962314367E0,-1.025324535E1,-1.981257200E0
4.414372656E0,3.469592810E0,-1.039083195E1,-1.703689694E0
4.433181667E0,3.966103554E0,-1.060259724E1,-8.123632669E-1
4.451990729E0,4.455435753E0,-1.120319557E1,-1.210768223E0
4.470799740E0,4.420739651E0,-1.090409279E1,-2.560320139E0
4.489608750E0,3.723232031E0,-9.638289452E0,-3.704089403E0
4.508417761E0,3.074777126E0,-9.401400566E0,-3.263810158E0
4.527226771E0,2.301895380E0,-1.004746246E1,-1.440479279E0
4.546035781E0,2.263610125E0,-1.101177025E1,2.013560295E0
4.564844792E0,2.273181438E0,-1.243549919E1,3.528217077E0
4.583653802E0,7.776673436E-1,-1.363908863E1,2.823530674E0
4.602462865E0,-3.445664644E-1,-1.466202068E1,1.381855130E0
4.621271875E0,3.948157430E-1,-1.504606915E1,-4.785645287E-3
4.640080886E0,9.643075466E-1,-1.375992680E1,-5.754738450E-1
4.658889896E0,7.609176040E-1,-1.183968639E1,-1.525424480E0
4.677698906E0,5.072783828E-1,-9.914660454E0,-1.910668850E0
4.696507917E0,4.594219327E-1,-8.724231720E0,-1.103091240E0
4.715316927E0,3.672982752E-1,-8.441878319E0,-8.063812256E-1
4.734125938E0,-3.278166950E-1,-8.690732002E0,-7.429714203E-1
4.752934948E0,-8.805587292E-1,-8.471788406E0,-5.611169338E-1
4.771744011E0,-9.343972206E-1,-7.712067604E0,-2.883351147E-1
4.790553021E0,-9.272187948E-1,-7.239484787E0,2.656033039E-1
4.809362031E0,-7.824530005E-1,-6.973881721E0,6.173482537E-1
4.828171042E0,-3.326023519E-1,-6.666403770E0,7.345965505E-1
4.846980052E0,-2.033899166E-2,-6.326622963E0,5.922235847E-1
4.865789063E0,-2.344966233E-1,-5.979663849E0,-5.096712112E-1
4.884598073E0,-2.093719840E-1,-5.897111416E0,-1.731207132E0
4.903407084E0,5.132604837E-1,-6.588637352E0,-1.709671736E0
4.922216094E0,1.269392371E0,-7.878368378E0,-5.060820103E0
4.941025104E0,1.325623751E0,-9.349954605E0,-1.150229836E1
4.959834115E0,1.027717352E0,-1.009651470E1,-1.300379467E1
4.978643125E0,1.318445325E0,-9.846465111E0,-1.029272652E1
4.997452136E0,1.671386600E0,-9.444471359E0,-6.150750637E0
5.016261146E0,2.105684042E0,-9.133403778E0,-3.559323788E0
5.035070156E0,2.685943365E0,-8.778069496E0,-3.558127165E0
5.053879167E0,1.714457393E0,-8.415556908E0,-5.398207664E0
5.072688177E0,2.093719840E-1,-8.417949677E0,-5.030909538E0
5.091497240E0,-7.238288522E-1,-9.444471359E0,-3.878765583E0
5.110306250E0,-8.590233326E-1,-1.068156052E1,-1.971685886E0
5.129115261E0,-1.426122308E0,-1.211246777E1,-1.032503009E0
5.147924271E0,-1.446461320E0,-1.330648708E1,-1.680957913E0
5.166733281E0,-3.529413342E-1,-1.322513103E1,-7.506284714E0
5.185542292E0,6.652047038E-1,-8.851051331E0,-3.038884699E-1
5.204351302E0,5.419743061E-1,-6.100501537E0,1.663011789E0
5.223160313E0,2.158325911E0,-6.701099873E0,1.213161111E0
5.241969323E0,2.810370207E0,-9.973284721E0,9.882357717E-1
5.260778334E0,2.616551638E0,-1.169372463E1,9.439685345E-1
5.279587344E0,2.555534601E0,-1.189711380E1,9.714859724E-1
5.298396354E0,2.554338217E0,-1.097468090E1,8.458628058E-1
5.317205365E0,2.539981127E0,-9.692128181E0,-6.855437160E-1
5.336014323E0,2.606980324E0,-9.175278664E0,-2.874976397E0
5.354823386E0,3.044866800E0,-9.663414001E0,-2.599801779E0
5.373632344E0,2.312663078E0,-9.775876999E0,-1.233500123E0
5.392441354E0,1.082752228E0,-9.511469841E0,5.144568533E-2
5.411250365E0,1.100698471E0,-9.247062683E0,-1.232303679E-1
5.430059375E0,2.047059774E0,-8.703892708E0,-6.077769399E-1
5.448868386E0,2.949153900E0,-8.310273170E0,-8.279166222E-1
5.467677396E0,2.734996319E0,-8.498109818E0,-1.820937991E0
5.486486406E0,2.201396942E0,-8.928817749E0,-3.153740168E0
5.505295417E0,2.255235434E0,-8.895318031E0,-4.200600147E0
5.524104427E0,2.277967215E0,-8.965906143E0,-4.417150497E0
5.542913438E0,1.980060697E0,-9.141778946E0,-3.821337700E0
5.561722448E0,2.079362869E0,-8.863015175E0,-3.373879910E0
5.580531459E0,2.036292076E0,-9.145368576E0,-3.066402197E0
5.599340469E0,2.575873613E0,-9.232706070E0,-2.511267424E0
5.618149479E0,3.042474031E0,-9.493523598E0,-1.381855130E0
5.636958438E0,3.461217880E0,-8.647661209E0,-3.924229145E-1
5.655767448E0,1.764706731E0,-9.647860527E0,1.363908947E-1
5.674576459E0,9.990034699E-1,-1.081316566E1,3.026920557E-1
5.693385469E0,7.429714203E-1,-1.094596672E1,1.411765367E-1
5.712194479E0,9.643075466E-1,-1.043749237E1,-4.402793646E-1
5.731003490E0,9.834501147E-1,-1.012522888E1,-2.793620348E0
5.749812500E0,1.316052526E-1,-1.079162979E1,-4.882554531E0
5.768621511E0,-1.950150430E-1,-1.078445148E1,-5.569294930E0
5.787430469E0,-8.362914920E-1,-1.038963604E1,-4.195814610E0
5.806239479E0,-1.305284739E0,-1.036690426E1,-3.576073408E0
5.825048490E0,-1.951346874E0,-1.061336517E1,-2.520838737E0
5.843857500E0,-1.375872970E0,-1.017787075E1,-4.821537733E-1
5.862666511E0,-8.494520187E-1,-1.052602673E1,6.843472719E-1
5.881475469E0,5.335994363E-1,-1.034776115E1,1.160519004E0
5.900284479E0,9.942178130E-1,-1.067916775E1,-2.201396823E-1
5.919093490E0,1.806581140E0,-1.056909752E1,-3.653840065E0
5.937902500E0,1.458425403E0,-9.802198410E0,-4.566701889E0
5.956711511E0,8.506484628E-1,-8.946763992E0,-3.592823267E0
5.975520469E0,4.067798331E-2,-8.554341316E0,-3.212364435E0
5.994329479E0,-1.030110121E0,-8.541180611E0,-3.135794163E0
6.013138490E0,-1.831705689E0,-8.342576027E0,-2.837887764E0
6.031947500E0,-2.276770830E0,-7.673782349E0,-2.299502611E0
6.050756459E0,-2.231307030E0,-6.977470875E0,-1.579262972E0
6.069565469E0,-2.014756680E0,-6.338587284E0,-1.019342422E0
6.088374479E0,-1.679761529E0,-6.565905571E0,-4.689932466E-1
6.107183490E0,-5.491527915E-1,-6.010770321E0,-2.488535494E-1
6.125992448E0,1.627119333E-1,-5.801398277E0,-9.068797827E-1
6.144801459E0,4.450650215E-1,-6.474977970E0,-2.495713949E0
6.163610469E0,8.805587292E-1,-6.638886452E0,-5.393422127E0
6.182419427E0,6.496513486E-1,-6.393621922E0,-7.963313580E0
6.201228438E0,3.254238665E-1,-6.293123722E0,-7.795815945E0
6.220037448E0,-2.009970993E-1,-6.299105644E0,-6.508477688E0
6.238846406E0,-3.601198196E-1,-5.139782906E0,-5.450850010E0
6.257655417E0,-2.344966233E-1,-4.052245140E0,-4.655236244E0
6.276464427E0,3.038884699E-1,-4.311866283E0,-3.500699520E0
6.295273386E0,7.633104324E-1,-6.248856544E0,-3.512663603E0
6.314082396E0,1.115055323E0,-8.711071014E0,-5.516652584E0
6.332891406E0,1.007378340E0,-1.008694363E1,-7.140182972E0
6.351700365E0,6.005984545E-1,-9.998409271E0,-6.093322754E0
6.370509375E0,-3.469592705E-2,-9.020941734E0,-4.412364960E0
6.389318386E0,-5.204389095E-1,-7.629515171E0,-3.778266907E0
6.408127344E0,-8.494520187E-1,-6.759724140E0,-4.925625324E0
6.426936354E0,-9.750752449E-1,-7.424928665E0,-6.468996048E0
6.445745313E0,7.776673883E-2,-1.022213840E1,-5.824130535E0
6.464554323E0,2.411965132E0,-1.258624744E1,-6.040680885E0
6.483363281E0,3.025724173E0,-1.362832165E1,-6.400800347E-1
6.502172292E0,1.392622828E0,-1.444546986E1,5.024927258E-1
6.520981250E0,7.824530005E-1,-1.558923912E1,1.483550072E-1
6.539790261E0,6.903293133E-1,-1.667079544E1,1.414158225E0
6.558599271E0,1.919043779E0,-1.701177216E1,2.736192703E0
6.577408229E0,4.403990269E0,-1.475414467E1,2.919243574E0
6.596217240E0,6.239284992E0,-1.338664627E1,3.425325632E0
6.615026198E0,5.261816978E0,-1.262931824E1,3.409772158E0
6.633835209E0,4.256831646E0,-1.193061352E1,2.529213428E0
6.652644167E0,4.667200565E0,-1.172722340E1,7.166503668E-1
6.671453177E0,4.354937077E0,-1.099262714E1,-4.585844517E0
6.690262136E0,3.595216036E0,-1.049491978E1,-4.320241451E0
6.709071146E0,1.914258122E0,-9.767501831E0,-1.960918188E0
6.727880104E0,1.471585929E-1,-8.266005516E0,-8.542376757E-1
6.746689063E0,-9.032905698E-1,-7.160521984E0,-3.852444589E-1
6.765498073E0,-6.209374666E-1,-6.193821430E0,-7.944171429E-1
6.784307031E0,2.201396823E-1,-5.812166214E0,-1.225125194E0
6.803116042E0,3.708875179E-1,-5.824130535E0,-1.884347796E0
6.821925000E0,1.253839016E0,-6.434299946E0,-3.062813044E0
6.840734011E0,2.953939438E0,-7.295716286E0,-2.907279491E0
6.859542969E0,3.957728624E0,-8.691927910E0,-1.962114573E0
6.878351927E0,3.711267948E0,-1.042313576E1,-1.384247899E0
6.897160938E0,3.566502094E0,-1.137906837E1,-1.121037364E0
6.915969896E0,4.443471432E0,-1.181575775E1,-1.909472466E0
6.934778854E0,4.444668293E0,-1.184088326E1,-3.809373617E0
6.953587865E0,4.173082829E0,-1.186840057E1,-4.539184570E0
6.972396823E0,4.158725739E0,-1.263649654E1,-3.761517286E0
6.991205781E0,3.739981890E0,-1.220698452E1,-2.453839540E0
7.010014792E0,2.355733871E0,-9.973284721E0,-2.388036966E0
7.028823750E0,2.445464849E0,-8.682356834E0,-1.278963685E0
7.047632709E0,3.060420275E0,-9.881160736E0,4.534398913E-1
7.066441719E0,2.673979282E0,-1.272862053E1,7.585247755E-1
7.085250677E0,1.253839016E0,-1.594816303E1,4.450650215E-1
7.104059636E0,5.156532526E-1,-1.911626053E1,1.415354609E0
7.122868594E0,5.623133183E-1,-2.096352005E1,1.232303619E0
7.141677604E0,-1.328016520E-1,-1.885305023E1,-2.548356056E-1
7.160486563E0,-8.614161611E-1,-1.395972729E1,-1.057627559E0
7.179295521E0,-1.008574724E0,-9.759127617E0,-9.332008362E-1
7.198104479E0,-1.292124271E0,-6.742974281E0,-8.338986635E-1
7.216913490E0,-1.366301775E0,-4.650450706E0,-1.424925923E0
7.235722448E0,-1.124626622E-1,-3.671786308E0,-2.571087837E0
7.254531406E0,-2.045863420E-1,-3.534198999E0,-6.400800347E-1
7.273340365E0,-4.486542344E-1,-3.769891977E0,6.747759581E-1
7.292149323E0,-6.029912829E-1,-4.006781578E0,1.491924882E0
7.310958334E0,-5.670989752E-1,-4.563112736E0,1.648654819E0
7.329767292E0,-6.604190469E-1,-5.568098068E0,1.791027784E0
7.348576250E0,-8.398807645E-1,-6.422336102E0,1.788634896E0
7.367385209E0,-5.156532526E-1,-6.843472958E0,1.300499082E0
7.386194167E0,-8.494520187E-2,-7.113861561E0,6.436693072E-1
7.405003125E0,1.172483116E-1,-7.465606689E0,-4.845465660E0
7.423812084E0,2.678765059E0,-9.705288887E0,-2.705684280E1
7.442621042E0,5.197210789E0,-1.110987568E1,-1.899901199E1
7.461430000E0,4.630111694E0,-1.047697353E1,-4.804787636E0
7.480239011E0,4.161118507E0,-1.083948612E1,-2.644068897E-1
7.499047969E0,4.645665169E0,-1.177986622E1,-4.764110088E0
7.517856927E0,5.375475883E0,-1.069711399E1,-7.186842918E0
7.536665886E0,4.560719967E0,-9.437292099E0,-4.208974838E0
