"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.672068386E0,1.504211407E-2,5.518241525E-1,1.920427442E0
2.690878021E0,-4.049917459E-1,4.238516390E-1,1.673034310E0
2.709687656E0,-6.407787800E-1,4.259895980E-1,1.604313970E0
2.728497344E0,-6.920899153E-1,6.856760383E-2,1.410980821E0
2.747306979E0,-8.099834919E-1,-3.901786804E-1,7.411867976E-1
2.766116667E0,-8.481613994E-1,-4.787515402E-1,4.375193417E-1
2.784926302E0,-6.716265678E-1,-4.317162931E-1,6.477271914E-1
2.803735990E0,-1.556897014E-1,-2.890834510E-1,8.187643886E-1
2.822545625E0,1.760003716E-1,-1.021642014E-1,6.623874903E-1
2.841355313E0,4.093440175E-1,2.214321308E-2,5.796176791E-1
2.860164948E0,5.935144424E-1,-1.605001241E-1,4.937936664E-1
2.878974583E0,5.241833329E-1,-4.860817194E-1,3.697153032E-1
2.897784271E0,2.538833916E-1,-8.031114340E-1,3.126010895E-1
2.916593906E0,1.964637488E-1,-1.314848661E-1,3.110739589E-1
2.935403594E0,1.143047959E-1,5.142570138E-1,-3.863608837E-2
2.954213229E0,8.590039611E-2,7.689803243E-1,-2.557922900E-1
2.973022917E0,-5.887040496E-2,1.004156590E0,-4.463766217E-1
2.991832552E0,-1.275143679E-2,1.446715355E0,-5.132644176E-1
3.010642240E0,6.024480984E-2,1.443966508E0,-9.116895497E-2
3.029451875E0,1.188861504E-1,1.386852384E0,4.637857676E-1
3.048261511E0,2.074590027E-1,1.019427776E0,8.661050797E-1
3.067071198E0,1.176644564E-1,5.096756816E-1,9.406284094E-1
3.085880833E0,-5.092938989E-2,5.643464923E-1,7.094227076E-1
3.104690521E0,-1.954711229E-1,1.158700943E0,4.323271513E-1
3.123500156E0,-2.666348219E-1,1.278732419E0,2.182251811E-1
3.142309844E0,-3.057290614E-1,1.078679919E0,2.641914412E-2
3.161119479E0,-4.740174711E-1,1.065546632E0,-1.452289373E-1
3.179929115E0,-6.859814525E-1,1.122355461E0,-2.396048307E-1
3.198738802E0,-8.438854814E-1,1.293698192E0,-7.284353673E-2
3.217548438E0,-9.923213720E-1,1.233224273E0,1.626380831E-1
3.236358125E0,-1.113574505E0,6.342885494E-1,2.609844804E-1
3.255167761E0,-1.030499339E0,-5.117372870E-1,2.061609551E-2
3.273977448E0,-7.727217674E-1,-1.232842445E0,-3.599417508E-1
3.292787083E0,-3.833066523E-1,-1.030041218E0,-3.046600819E-1
3.311596719E0,-1.196497083E-1,-3.379512429E-1,7.635590737E-4
3.330406406E0,-1.205659807E-1,-2.628170252E-1,3.512371797E-3
3.349216042E0,-2.009687424E-1,-7.414158583E-1,-2.350234836E-1
3.368025729E0,-2.351761907E-1,-1.482984424E0,-3.016058207E-1
3.386835365E0,-3.142809272E-1,-1.899276853E0,-3.394783735E-1
3.405645000E0,-3.897205591E-1,-1.654937983E0,-3.736858070E-1
3.424454688E0,-1.808107942E-1,-1.101815701E0,-3.321481943E-1
3.443264323E0,3.769691288E-1,-1.885990947E-1,-1.204896197E-1
3.462074011E0,7.694385052E-1,7.744779587E-1,-1.009425074E-1
3.480883646E0,8.338828683E-1,1.244830370E0,-3.431434333E-1
3.499693333E0,8.231930137E-1,1.459237695E0,-7.902836204E-1
3.518502969E0,4.734829962E-1,1.205430746E0,-1.045617819E0
3.537312604E0,6.879667193E-2,8.847358823E-1,-1.002247691E0
3.556122292E0,-8.727480471E-2,9.079480767E-1,-7.768449783E-1
3.574931927E0,1.839413792E-1,1.287284255E0,-5.325061083E-1
3.593741615E0,5.846571922E-1,1.567663193E0,-3.260397315E-1
3.612551250E0,8.854994774E-1,1.472370982E0,-5.355603099E-1
3.631360938E0,9.933140278E-1,9.772792459E-1,-5.905365944E-1
3.650170573E0,1.131060004E0,1.004462004E0,-4.763081372E-1
3.668980208E0,1.197642446E0,1.505051255E0,-5.688515306E-1
