"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.164145187E2,-1.292124271E0,1.099501967E0,-9.696913719E0
7.164333300E2,-1.284945726E0,1.125823021E0,-9.690931320E0
7.164521412E2,-1.259821177E0,1.095912814E0,-9.681360245E0
7.164709525E2,-1.281356573E0,1.113858938E0,-9.682557106E0
7.164897637E2,-1.272981644E0,1.100698471E0,-9.681360245E0
7.165085750E2,-1.275374413E0,1.116251707E0,-9.680164337E0
7.165273862E2,-1.272981644E0,1.140179992E0,-9.688538551E0
7.165461975E2,-1.270588875E0,1.127019525E0,-9.690931320E0
7.165650087E2,-1.257428288E0,1.103091240E0,-9.688538551E0
7.165838200E2,-1.275374413E0,1.095912814E0,-9.708877563E0
7.166026312E2,-1.264606714E0,1.100698471E0,-9.701699257E0
7.166214425E2,-1.274178028E0,1.101894855E0,-9.681360245E0
7.166402537E2,-1.284945726E0,1.113858938E0,-9.671789169E0
7.166590649E2,-1.287338614E0,1.156929731E0,-9.653842926E0
7.166778762E2,-1.283749342E0,1.129412293E0,-9.657432556E0
7.166966874E2,-1.256231904E0,1.082752228E0,-9.696913719E0
7.167154987E2,-1.258624673E0,1.069591761E0,-9.701699257E0
7.167343099E2,-1.243071318E0,1.076770186E0,-9.710074425E0
7.167531212E2,-1.241874933E0,1.129412293E0,-9.722038269E0
7.167719324E2,-1.265803218E0,1.121037364E0,-9.688538551E0
7.167907437E2,-1.281356573E0,1.130608678E0,-9.655039787E0
7.168095549E2,-1.298106313E0,1.143769264E0,-9.638289452E0
7.168283662E2,-1.319641709E0,1.129412293E0,-9.661021233E0
7.168471774E2,-1.311266780E0,1.122233868E0,-9.676574707E0
7.168659887E2,-1.262213945E0,1.091127157E0,-9.674181938E0
7.168847999E2,-1.225125194E0,1.079162955E0,-9.676574707E0
7.169036112E2,-1.219143152E0,1.095912814E0,-9.663414001E0
7.169224224E2,-1.225125194E0,1.097109199E0,-9.669396400E0
7.169412337E2,-1.233500123E0,1.087537885E0,-9.687342644E0
7.169600449E2,-1.282552958E0,1.112662554E0,-9.702896118E0
7.169788562E2,-1.318445325E0,1.138983607E0,-9.720842361E0
7.169976674E2,-1.337587833E0,1.161715388E0,-9.710074425E0
7.170164786E2,-1.330409408E0,1.104287624E0,-9.672985077E0
7.170352899E2,-1.286142230E0,1.115055323E0,-9.671789169E0
7.170541012E2,-1.263410330E0,1.121037364E0,-9.658628464E0
7.170729124E2,-1.228714466E0,1.112662554E0,-9.675378799E0
7.170917236E2,-1.231107235E0,1.104287624E0,-9.700503349E0
7.171105349E2,-1.249053478E0,1.109073281E0,-9.704092026E0
7.171293461E2,-1.276570916E0,1.134197950E0,-9.686145782E0
7.171481574E2,-1.311266780E0,1.124626637E0,-9.665806770E0
7.171669686E2,-1.304088354E0,1.124626637E0,-9.690931320E0
7.171857799E2,-1.310070395E0,1.121037364E0,-9.716055870E0
7.172045911E2,-1.290927768E0,1.105484009E0,-9.702896118E0
7.172234024E2,-1.270588875E0,1.113858938E0,-9.686145782E0
7.172422136E2,-1.262213945E0,1.123430252E0,-9.661021233E0
7.172610249E2,-1.259821177E0,1.118644595E0,-9.664610863E0
7.172798361E2,-1.251446247E0,1.116251707E0,-9.665806770E0
7.172986474E2,-1.270588875E0,1.141376376E0,-9.681360245E0
7.173174586E2,-1.281356573E0,1.117448211E0,-9.688538551E0
7.173362699E2,-1.270588875E0,1.128215909E0,-9.702896118E0
7.173550811E2,-1.283749342E0,1.103091240E0,-9.699306488E0
